show_number,showid,showdate,venueid,tourid,exclude_from_stats,setlist_notes
767,1251178713,1993-03-12,258,20,0,"<p>Guelah contained a Simpsons signal and a Lively Up Yourself tease from Mike. Trey dedicated Stash to &quot;Mary.&quot; The ending of Fluffhead, all of The Horse, and the beginning of My Friend featured Trey on acoustic guitar. Bowie contained a Random Note signal in the intro,&nbsp;a Sailor&#39;s Hornpipe tease from Trey, and Dueling Banjos and&nbsp;<em>Jeopardy!</em>&nbsp;theme teases from Page.&nbsp;In an attempt to request AC/DC Bag at the start of the second set, roughly twenty people in front donned shopping bags on their heads with the word AC/DC written on them. My Friend contained Careful with That Axe, Eugene (Pink Floyd) quotes. YEM contained a beehive (from the alternate &quot;Water Your Team In A Beehive I&#39;m A-sent You&quot; lyrics) reference from Trey and a Low Rider tease from Page. Mike quoted You Sexy Thing in the YEM vocal jam.&nbsp;The HYHU outro contained Lengthwise teases from Mike. Danny Boy was quoted before Carolina.</p>
"
768,1251179959,1993-03-13,110,20,0,"<p>Trey sang the verses of Fee through a megaphone. Mike teased Peace Frog in Split Open and Melt. Wilson and Antelope contained Simpsons signals. Mike dedicated Mike&#39;s Song to Cilla and mentioned her name in the intro. Weekapaug included My Girl teases. Fish&nbsp;wore a coat and tie for this show!</p>
"
769,1251180522,1993-03-14,112,20,0,"<p>Trey shouted out to eight-year-old Cameron McKinney during Sparkle and at the end of Antelope. Cameron then played a brief version of Indian War Dance, an introductory piano lesson, on solo piano during Reba prior to the whistling segmentÂ and added vocals toÂ the final Reba chorus. Page teased On Broadway after Indian War Dance. Mike teased Foam in Stash. This show marked the first Halleyâs Comet since August 17, 1989 (477 shows) and the first Ballad of Curtis Loew since October 30, 1990 (302 shows). YEM contained an Owner of a Lonely Heart jam and quote, andÂ Low Rider and Oye Como Va jams.Â Mystery Achievement, We Will Rock You, and Welcome to the Machine were all part of the YEM vocal jam. The Spooky Jam included the song's first verse. The Great Gig in the Sky made its Phish debut at this show. Sweet Adeline and Memories were performed without microphones. In the soundcheck, Page teased Blue Monk after Sunshine of Your Love.</p>
"
770,1251181475,1993-03-16,259,20,0,"Trey sang the verses of Fee unmiced. You Gotta See Mama Every Night was sung to Trey&rsquo;s grandmother by her husband, Harry Jones, and was a Phish debut. The beginning of My Friend featured Trey on acoustic guitar. The Esther intro contained Random Note and Simpsons signals and the Secret Language Instructions featured introductions of the Random Note, Simpsons, and All Fall Down signals as well as Turn Turn Turn teases from Mike. YEM did not contain a vocal jam. The soundcheck included a performance of Slave (Rolling Stones)."
771,1251182379,1993-03-17,260,20,0,"<p>Antelope contained Nellie Kane and Yakety Sax teases from Mike and a <em>The Munsters</em> theme tease from Trey. Reba did not have the whistling ending.&nbsp;&nbsp;Weekapaug contained a Heartbreaker tease and a full-band Lively Up Yourself jam. The Horse featured Trey on acoustic guitar. Great Gig included a Little Drummer Boy tease from Fish during his vacuum solo and was announced as &quot;The Okay&nbsp;Gig in the Sky.&quot;</p>
"
772,1251220191,1993-03-18,260,20,0,"<p>Trey sang the verses of Fee through a megaphone. Maze contained&nbsp;Can&#39;t You Hear Me Knocking and Oye Como Va teases from Trey. Page teased the theme to Star Trek and Trey sang a bit of the theme to Jaws in the Mockingbird narration.&nbsp;I Didn&#39;t Know featured Fish&nbsp;on trombone. Bowie included an Achy Breaky Heart quote from Trey and All Fall Down and Simpsons signals in the intro and DEG jamming. Page teased Jimmy Olsen&#39;s Blues prior to start of the second set. My Friend started with Trey on acoustic guitar and later featured a Little Drummer Boy jam. Trey quoted My Friend in Poor Heart.&nbsp;SOAM included a referenced to the Mockingbird narration and&nbsp;Stayin&rsquo; Alive and Little Drummer Boy teases. Little Drummer Boy was subsequently teased after SOAM. Mike teased Dazed and Confused in Big Ball Jam.</p>
"
773,1251220940,1993-03-19,263,20,0,"<p>Page teased Blue Monk in Suzy Greenberg and The Lizards, the theme from <em>Speed Racer</em> in Fluffhead, and Rhapsody in Blue in It&#39;s Ice. Mike teased Heartbreaker in Suzy Greenberg. Weekapaug contained a Boulevard&nbsp;tease from Mike and a vocal jam that contained Yodelittle quotes. The soundcheck&#39;s Dog Log was performed in a reggae style and Bang a Gong (Get It On) contained When the Whip Comes Down and Slave (Rolling Stones) quotes from Trey.</p>
"
774,1251221515,1993-03-21,264,20,0,"<p>Page teased the theme to <em>Jeopardy!</em> in Divided Sky. The Esther intro contained a Random Note signal and Possum contained a Simpsons signal. The beginning of My Friend featured Trey on acoustic guitar. My Friend did not contain the &quot;Myfe&quot; ending. Tweezer contained Walk This Way teases. Sweet Adeline was performed without microphones.</p>
"
775,1251222375,1993-03-22,265,20,0,"<p>Trey and Mike teased Fire (Ohio Players) in Stash. The Bowie intro contained Simpsons, Oom Pa Pa, Random Note, and All Fall Down signals and Mike teasing Sailor&#39;s Hornpipe&nbsp;and briefly Split Open And Melt. The second set included Gamehendge narration in between songs from It&#39;s Ice through McGrupp. This was the first Gamehendge since October 13, 1991 (193 shows). Trey teased Johnny B. Goode in AC/DC Bag. Weekapaug contained a Sundown tease from Mike. Amazing Grace was performed without microphones.</p>
"
776,1251256471,1993-03-24,266,20,0,"<p>I Didn&#39;t Know featured Fish&nbsp;on trombone and The Horse featured Trey on acoustic guitar. Amazing Grace and Carolina were performed without microphones. You Enjoy Myself contained Amazing Grace and the theme from <em>Speed Racer</em> teases. The Lion Sleeps Tonight and Under Pressure were teased in the You Enjoy Myself vocal jam. The Prison Joke was told by an audience member named &ldquo;Sam&rdquo; after Fish&nbsp;refused to tell it. Fish teased Moby Dick before Good Times Bad Times. The soundcheck&#39;s Ready for Love also contained bits of No Quarter and Slave (The Rolling Stones).</p>
"
777,1251257060,1993-03-25,276,20,0,"<p>Possum included Simpsons and Oom Pa Pa signals. Trey dedicated Glide to Terry (who drove the truck that got the band&#39;s equipment to every show). Magilla (last played May 8, 1992, or 114 shows) included a Stash tease. There was an Ob-La-Di, Ob-La-Da jam in the Antelope intro and a tease by Trey later in Antelope.&nbsp;Icculus was played for the first time since May 2, 1992 (119 shows). Mike teased Cheap Sunglasses in Mike&#39;s Song. Weekapaug contained a Don&#39;t Get Me Wrong jam and Don&#39;t Get Me Wrong and Ob-La-Di, Ob-La-Da teases from Trey. Sweet Adeline was performed without microphones.The soundcheck&#39;s The Wedge was a masuhup with what would later become Wolfman&#39;s Brother.</p>
"
778,1251257635,1993-03-26,137,20,0,"<p>Wilson contained a Simpsons signal. The Horse featured Trey on acoustic guitar. YEM contained a teases of <em>Mission: Impossible </em>theme and <em>Speed Racer</em> theme.Â  Amazing Grace was performed without microphones and wsa dedicated to the band's tour bus driver, Heavy Duty.</p>
"
779,1251258198,1993-03-27,137,20,0,The beginning of My Friend featured Trey on acoustic guitar. I Didn&#39;t Know featured Fish&nbsp;on trombone. The intro to Bowie contained an All Fall Down signal and an All Things Reconsidered tease. Weekapaug featured an On Broadway tease. Listen before Carolina for an <em>a cappella</em> Suzy Greenberg quote.
780,1251260209,1993-03-28,280,20,0,"<p>This show included the Phish debut of My Life As a Pez. Antelope included Fishin&#39; Hole (aka <em>The Andy Griffith Show</em> theme) whistling and&nbsp;Fishin&#39; Hole,&nbsp;Axel F, and <em>Speed Racer</em> theme&nbsp;teases. The YEM vocal jam was based on Higher Ground and later had band member nicknames spoken. Possum included McGrupp teases.&nbsp;During Contact, Trey wished Shelly Culbertson a safe journey on her trip out to Boston.&nbsp;There were also repeated teases of the <em>Leave It to Beaver</em> theme in BBFCFM, primarily from Mike. The soundcheck&#39;s Dog Log contained Axel F teases.</p>
"
781,1251261396,1993-03-30,141,20,0,"<p>The beginning of My Friend and all of The Horse featured Trey on acoustic guitar. My Friend contained a <em>Sesame Street</em> theme tease from Trey. Llama and Stash contained&nbsp;Can&#39;t You Hear Me Knocking teases. Esther&#39;s intro contained a Random Note signal and a HYHU tease from Page. Misty Mountain Hop was teased in Stash and Weigh. Hydrogen contained Call to the Post teases from Trey. Weekapaug contained a quote by Trey of&nbsp;Is She Really Going Out with Him?. After Weigh, Trey mentioned that &quot;the Big Ball Jam was born in this very room one year ago today&quot; and wished it a happy birthday, followed by a quick tease of Happy Birthday by Page and Trey wishing happy birthday to &quot;Bob&quot; who was in the audience. Mike dedicated Mike&rsquo;s Song to himself. The band subsequently included several references to it being &ldquo;his song.&rdquo; The Phish debut of Psycho Killer was unfinished. Tela was teased after the soundcheck&#39;s &quot;Jam.&quot;</p>
"
782,1251262904,1993-03-31,143,20,0,"<p>I Didnât Know featured FishÂ (introduced by Trey as âMadonnaâ) on washboard. Bowie included All Fall Down and Simpsons signals; Hood later contained another Simpsons signal and <em>Pink Panther</em> theme and <em>Odd Couple</em> theme teases. The segue from Lengthwise to Maze included an audience assist: the audience continued to sing the Lengthwise chorus after FishÂ finished, and the Maze high-hat intro completed the transition. Harpua contained Buried Alive andÂ Axel F teases. The Phish debut of She's So Cold was incomplete.Â At the end of Chalk Dust and again before AC/DC Bag, Trey made comments about Bonnie Raitt, who was also playing in town and whom he âhas a big crush on.â Sweet Adeline was dedicated to ""Nina,"" who lost her ID and got it back from Trey on stage.</p>
"
783,1251342678,1993-04-01,301,61,0,"<em>Ancient Forests Benefit</em> On this afternoon, Phish appeared at a rally and benefit for Ancient Forests. Neil Young, David Crosby, Carole King, Ann and Nancy Wilson from Heart, and Kenny Loggins also performed."
784,1251266239,1993-04-01,143,20,0,"<p>The beginning of My Friend featured Trey on acoustic guitar. Antelope included I Feel the Earth Move and Barracuda teases. The prevalent rumor among audience members (aided, to some extent, by the band and crew helping spread the rumor) was that Neil Young would make a guest appearance. Trey teased Heart of Gold before Llama and Sugar Mountain before The Squirming Coil and in Lawn Boy. Tweezer contained Fire (Ohio Players) teases. After Big Ball Jam, the crew set up a folding chair, Trey&rsquo;s acoustic guitar, and an extra microphone on stage. Trey introduced &quot;Neil Young&quot; to the roaring crowd, then went behind the drums and began playing the Hold Your Head Up intro with Fish appearing&nbsp;instead. Some friends sitting in the front row promptly hit Fish in the face with a pie. Fish sang&nbsp;a line of After the Gold Rush (with Page assisting on piano) before launching into Terrapin. After the second Hold Your Head Up, Trey joked that Bill Clinton would be helping out on saxophone for the next song prompting Page and Fish to tease Pomp and Circumstance March No. 1. Carolina was performed without microphones.</p>
"
785,1251266799,1993-04-02,281,20,0,"<p>In a nod to the previous show&#39;s Neil Young prank, Trey teased Sugar Mountain in Divided Sky. I Didn&rsquo;t Know featured Fish on washboard and The Horse featured Trey on acoustic guitar. Runaway Jim contained a Simpsons signal and Weekapaug contained a Random Note signal.</p>
"
786,1251267765,1993-04-03,282,20,0,"<p>The beginning of My Friend featured Trey on acoustic guitar. Trey teased A Night in Tunisia in Reba. Antelope contained a Simpsons signal. Trey teased Jimmy Olsen&#39;s Blues in Suzy and Fire (Ohio Players) and A Night in Tunisia in Stash. Trey changed the ending of The Sloth to reference Chris Kuroda. The YEM vocal jam was based on My Girl and later featured Trey whispering &quot;Mr. Neil Young.&quot; Cavern included&nbsp;a Walk This Way tease from Trey.&nbsp;Prior to Good Times Bad Times, Trey quoted Weigh in response to the crowd.</p>
"
787,1251268131,1993-04-05,283,20,0,"<p>Stash contained DEG teases from Trey. The Mockingbird narration contained teases of Those Were the Days (aka the theme from <em>All in the Family</em>) and ""Charge!"" by Page. The Bowie intro contained a Mockingbird tease and Simpsons, All Fall Down, and Oom Pa Pa signals. Caravan was played for the first time since July 23, 1991 (225 shows). Llama contained a Caravan tease from Trey and Tweezer included multiple Caravan teases. Caravan contained a Manteca tease and YEM contained several Owner of a Lonely Heart teases. Fire was dedicated to Dudley, the other guitarist in Treyâs high school band, Space Antelope (Dudley was in attendance).</p>
"
788,1251268473,1993-04-07,284,61,1,"<p>It is believed that Phish performed two songs at the Boston Music Awards show (during a March 8, 2025 solo acoustic performance at the Boch Center Wang Theatre, Trey mentioned the band played Rift during this performance with Aerosmith sitting directly in fromt of them in the front row). The band won the award for Best Debut Album on a Major Label (for <em>A Picture of Nectar</em>) and was also nominated for Outstanding Rock Band and Rising Star.</p>
"
789,1251268904,1993-04-09,285,20,0,"<p>The Horse and the beginning of My Friend featured Trey on acoustic guitar. I Didn&#39;t Know featured Fish&nbsp;on the Madonna washboard. Suzy included a Stairway to Heaven tease from Trey. My Friend contained a Killer Joe tease from Page near the end of the song. YEM contained Groove is in the Heart teases. YEM&#39;s vocal jam and My Sweet One contained&nbsp;references to &quot;Mr. Cookie Head,&quot; who was a fan out in the audience dressed in a cookie costume. Big Ball Jam contained an Auld Lang Syne tease from Trey. During the band introductions in Love You, Fish introduced Brad Sands, prompting a &quot;Charge!&quot; tease from Page, and &quot;Cookie Man&quot;, leading to a HYHU tease. New York New York was teased after Page&#39;s introduction. Fish&nbsp;quoted Iron Man in his Love You vacuum solo. Love You subsequently contained a Sound of Music tease from Page and Mike. Possum had a Simpsons signal and ended with &quot;Cookie Head Man&quot; references from Trey.</p>
"
790,1251269628,1993-04-10,286,20,0,"<p>Melt contained an 1812 Overture tease from Mike and a&nbsp;Jean Pierre tease from Trey. The beginning of My Friend featured Trey on acoustic guitar. Chalk Dust contained a Simpsons signal anda Can&#39;t You Hear Me Knocking tease from Trey. The Bowie intro included a tease medley opening of songs played earlier in the set, including Lawn Boy, Chalk Dust, Uncle Pen, My Friend My Friend, Squirming Coil, Melt,&nbsp;Sparkle, and Weigh, as well as Random Note and Oom Pa Pa signals. Mike later teased Dave&#39;s Energy Guide in Bowie. Maze contained Miss You teases from Trey and Mike&rsquo;s Song included a Miss You tease and subsequent jam.&nbsp;Funky Bitch through Cavern featured Sugar Blue on harmonica. Sugar Blue also sang vocals on the Phish debuts of Help Me and Hoochie Coochie Man.</p>
"
791,1251342647,1993-04-12,303,20,0,"<p>The Horse featured Trey on acoustic guitar. Between Llama and Satin Doll, Trey told a story about how his great-grandfather went to the University of Iowa and his grandmother used to attend dances in the same venue and dance to the big band music of Duke Ellington. Antelope contained a Satin Doll tease from Trey and a Simpsons signal. Trey teased Fire (Ohio Players) in Tweezer. YEM contained Gumbo lyricsÂ and the YEM vocal jam included New York, New York lyrics,Â a bit ofÂ Swing Low, Sweet Chariot, and Setting Sail lyrics from Fish. Terrapin included Mississippi Queen teases from Trey and Page and aÂ brief In-A-Gadda-Da-Vida jam (with lyrics) during Fish's vacuum solo. Satin Doll was played for the first time since February 25, 1990 (421 shows) and Highway to Hell was played for the first time since November 15, 1991 (186 shows).</p>
"
792,1251344573,1993-04-13,305,20,0,"<p>Possum and Mike&#39;s Song included Dave&#39;s Energy Guide teases.&nbsp;The Mockingbird narration contained a Killer Inside Me quote from Trey and Jump (Van Halen) teases from Page. Caravan included Manteca teases from Trey and Page.&nbsp;The beginning of My Friend featured Trey on acoustic guitar. Mike&#39;s Song also contained Walk This Way teases. Weekapaug ended in a Can&#39;t You Hear Me Knocking jam.</p>
"
793,1251344962,1993-04-14,307,20,0,"<p>Kung segued into a Dave&#39;s Energy Guide jam before turning back into Stash, which also featured Kung quotes. The second Kung was recited while Trey, using an acoustic guitar, improvised on the intro to Horse and contained a brief Pinball Wizard jam. The second Kung and The Horse featured Trey on acoustic guitar and the intro to The Horse contained a Harry Hood tease. I Didn&#39;t Know featured Fish&nbsp;on the Madonna washboard. At the beginning of the second set, Trey&rsquo;s friend Roger Holloway got on stage and asked his girlfriend Jen to marry him. She said yes, and in response the band played AC/DC Bag (which references Roger in the lyrics), which also included Woman from Tokyo and Johnny B. Goode teases from Trey. The Spooky Jam inside of YEM included a verse sung by Page. Mike teased Spooky in the return to YEM. The YEM vocal jam included a <em>Jeopardy!</em> tease. Harpua featured teases of Dream Weaver and <em>The Jetsons</em> theme as well as vocal quotes from The End (The Doors); the narration centered on a story about people who steal your dreams at night. Trey dedicated Contact to Roger and Jen &ldquo;on the road of life.&rdquo; This show was released as part of the <em>St. Louis &#39;93</em> box set.</p>
"
794,1251350720,1993-04-16,309,20,0,"<p>Before Chalk Dust, Trey chided FishÂ for being late. Melt contained an 1812 Overture tease from Mike.Â Hood included a Simpsons signal. The Horse featured Trey on acoustic guitar. Trey teased Taps in Big Ball Jam. Trey dedicated Highway to Hell to Terry, the equipment truck driver. Gumbo was played for the first time since July 25, 1991 (229 shows) and containedÂ a Free Bird-style ending.</p>
"
795,1251353055,1993-04-17,310,20,0,"<p>My Friend started out with Trey on acoustic guitar and later included an Ob-La-Di, Ob-La-Da jam. Antelope included Random Note and Simpsons signals and a Gimme Some Lovin&#39; tease from Page. YEM included teases of the closing jam to I Wish. Sweet Adeline was performed without microphones. BBJ featured Trey on drums and Fish&nbsp;on vacuum. BBFCFM included some humorous additional lyrics from Mike, who echoed a fan&rsquo;s cry that he could &ldquo;smell [himself] running.&rdquo;&nbsp; Trey also forgot he was supposed to start part of the song and there was a long, silent pause on stage (which included a Misty tease from Page) until he finally realized that the rest of the band was waiting for him. In the soundcheck, Page teased and quoted Substitute after I Can&#39;t Explain.</p>
"
796,1251353669,1993-04-18,310,20,0,"<p>Mike teased I Can&#39;t Turn You Loose in Divided Sky. During the section of I Didn&rsquo;t Know where Fish&nbsp;usually does some sort of solo, Page asked everyone who had been there the night before how they liked the encore. Trey and Mike put their microphones in the same position as they were for BBFCFM, and Page brought people on stage to give testimonials about how they felt about it. &ldquo;Special guests&rdquo; included Brad Sands. Paul Langedoc,&nbsp;and Chris Kuroda. Paul said he was thinking what a real&nbsp;hardcore punk band would really sound like and played what he thought it would sound like (a clip of Sex Pistols&#39; Holiday in the Sun).&nbsp;Trey admitted his guilt in the mishap and the song continued. Trey teased Can&#39;t You Hear Me Knocking in Tweezer. The Horse included an extended intro section and featured Trey on acoustic guitar. Possum contained Purple Haze, I Feel the Earth Move, and In Memory of Elizabeth Reed teases.&nbsp;Mike&rsquo;s Song included a melodic Low Rider jam before segueing into Ya Mar. Amazing Grace was performed without microphones.</p>
"
797,1251354210,1993-04-20,311,20,0,"<p>The Bowie intro contained Lawn Boy teases from Trey as well as Simpsons and All Fall Down signals. Trey teased Dazed and Confused in Big Ball Jam. The beginning of My Friend featured Trey on acoustic guitar. YEM contained <em>Speed Racer</em> and <em>Mission: Impossible</em> theme teases from Page. Immigrant Song was teased in the YEM vocal jam. Whipping Post featured Fish&nbsp;on vocals. Amazing Grace was performed without microphones.</p>
"
798,1251354608,1993-04-21,311,20,0,"<p>The jam segment of this Melt is the one that appears at the end of Demand on <em>Hoist. </em>The Mockingbird Narration contained a quote of the Winkie Chant (&quot;O-Ee-Yah! Eoh-Ah!&quot;) from <em>The Wizard of Oz</em>. I Didn&#39;t Know featured Fish&nbsp;on trombone and The Horse featured Trey on acoustic guitar. Antelope contained a Divided Sky tease from Trey, an I&#39;m a Man (Spencer Davis Group) tease from Page, and&nbsp;Simpsons, Key Change, Tritone Down, and Random Note signals. Trey teased Fire (Ohio Players) in Possum. Mike&#39;s contained a brief Oye Como Va tease. Weekapaug was unfinished. Gumbo&nbsp;contained&nbsp;a Free Bird-style ending.</p>
"
799,1251356641,1993-04-22,162,20,0,"<p>The Esther intro contained a Random Note signal. Page teased the theme to <em>Speed Racer</em> in The Lizards.</p>
"
800,1251357085,1993-04-23,312,20,0,"The ending of Fluffhead and the beginning of My Friend featured Trey on acoustic guitar. &nbsp;My Friend subsequently contained a Baby Elephant Walk tease from Page. Lawn Boy was dedicated multiple times by each band member to Fish&#39;s parents, who were in attendance at the show. This Weekapaug included atypical, jazz-laced jams. Lengthwise featured Mimi Fishman on vacuum and band members parading around the stage with cheerleading banners proclaiming: &ldquo;Winners PLAY HARD&rdquo; and &ldquo;WE WIN IN OUR GYM.&rdquo; There was an unusually long break before the Fire encore."
801,1251357959,1993-04-24,313,20,0,"<p>The Horse featured Trey on acoustic guitar. When Something is Wrong with My Baby made its Phish debut at this show. Antelope contained a Blue Monk tease from Page, a Gypsy Queen tease from Mike, and an Aw Fuck! signal. Trey teased Chalk Dust Torture before the start of the second set and Call to the Post in Bathtub Gin. Mike teased Owner of a Lonely Heart in YEM.</p>
"
802,1251358407,1993-04-25,314,20,0,Possum contained You Don&#39;t Love Me teases. The Mockingbird Narration referenced Tetris and contained several Dance of the Sugar Plum Fairy teases as well as <em>Star Trek</em> theme teases from Page. I Didn&#39;t Know and Mike&#39;s Song contained &quot;will the good lord save&quot; and &quot;will I dance on grave&quot; quotes from Trey. I Didn&#39;t Know also featured Fish&nbsp;on Madonna washboard.
803,1251358798,1993-04-27,18,20,0,"<p>The Bowie intro contained Oom Pa Pa and Simpsons signals. The beginning of My Friend and all of The Horse featured Trey on acoustic guitar. YEM included Sundown teases in the song and quotes in the vocal jam. The Wreck of Edmund Fitzgerald was teased in the YEM vocal jam, teased (with lyrics) in the intro of The Horse, and quoted at the end of Cavern. Cavern also contained a brief Stairway to Heaven tease from Trey. Getting in Tune was teased and quoted before Love You. </p>
"
804,1251396798,1993-04-29,315,20,0,"<p>Some of the fans cheered the mention of QuÃ©bec during Fee, which featured Trey singing the verses through a megaphone. Antelope included a brief jam on Pink Floydâs Money and a tease of Dance of the Sugar Plum Fairy by Page. Chalk Dust contained Money and Lazy (Deep Purple)Â teases from Trey. Ya Mar contained an I Canât Turn You Loose tease from Page and funny stage banter as Trey tried to bring âLeoâ in too early. Page teased Gimme Some Lovin' in Mound. Sanity was teased in Reba. Hydrogen included a tease of Jingle Jangle Jingle, with a bassline somewhat akin to Happy Trails. Weekapaug included the theme from <em>Bonanza</em> and Canât You Hear Me Knocking teases from Page and an NICU tease from Trey. FishÂ dedicated Terrapin to his friends from Burlington who made the trip to see the band. Makisupa was played for the first time since November 26, 1990 (323 shows). The beginning of My Friend featured Trey on acoustic guitar. Mike teased the <em>Beverly Hillbillies</em> theme in the soundcheck's Reggae Jam.</p>
"
805,1251398532,1993-04-30,316,20,0,"<p>The Horse featured Trey on acoustic guitar. Trey teased Divided Sky in Cavern and Lazy in Possum. Wilson contained several teases of the theme from The Good, the Bad and the Ugly. Trey teased Fire (Ohio Players) in Harry Hood. Fish dedicated If I Only Had a Brain to Mark (who was one of the lighting people on the tour), Mark&#39;s friend Tim, and their wives. YEM contained&nbsp;<em>Mission: Impossible</em> theme teases from Page and Trey. The soundcheck&#39;s No One to Depend On was performed instrumentally.</p>
"
806,1251399755,1993-05-01,317,20,0,"<p>Melt contained an 1812 Overture tease by Mike.&nbsp;Trey sang the verses of Fee through a megaphone. The ending of Fluffhead and the beginning of My Friend featured Trey on acoustic guitar. Mike&rsquo;s Song included a Fuckin&rsquo; Up tease. Page teased the theme from <em>Star Trek</em> in Weekapaug Groove. Carolina was performed without microphones. The soundcheck&#39;s Poor Heart was performed <em>a cappella.</em></p>
"
807,1251400339,1993-05-02,317,20,0,"<p>The Horse featured Trey on acoustic guitar and I Didn't Know featured FishÂ on the Madonna washboard. YEM included a theme fromÂ <em>Speed Racer</em> tease. The Lizards also included a theme from <em>Speed Racer</em> tease. Antelope included Key Change, Simpsons, Tritone Down, and Random Note signals as well as theme from <em>The Good, The BadÂ and The Ugly</em>Â and Gimme Some Lovin' teases from Page. Sleeping Monkey was delayed while Trey scrambled to remember the lyrics. He remarked that it was particularly embarrassing since Tom Marshall was in the audience. After Antelope, FishÂ listened to the crowdâs requests, including Treyâs request of Undun, before settling on Rosie.</p>
"
808,1251401717,1993-05-03,318,20,0,"<p>Weigh included a tease by Trey of theÂ theme from<em> Woody Woodpecker</em>.Â The Esther intro contained a Random Note signal. Trey teased Under Pressure in Split Open and Melt. The Mockingbird narration included the Vibration of Life and a teases of New York, New York and the theme from <em>Star Trek </em>from Page. The Possum intro contained a Mockingbird tease from Trey. Mike teased Do You Feel Like We Do prior to the second set. AC/DC Bag includedÂ a Jean Pierre tease from Trey. Tweezer included I Feel the Earth Move,Â Fire (Ohio Players), and Can't You Hear Me KnockingÂ teases. Big Ball Jam contained a ""Charge!"" tease from Page. Love You included a Blue Monk tease from Page and a Page-led HYHU sandwiched in the middle after FishÂ rambled on with crew introductions. Memories and Amazing Grace were performed without microphones. In the soundcheck, Minuano (Six Eight) was teased at the end of Phase Dance, Will I Dance ended with a Hold Your Head Up tease from Page, and Black Or White was teased after Mustang Sally.Â This show was originally released (and is now available as an archival release)Â on Live.Phish.com withÂ proceeds benefiting the Hurricane Sandy relief effort.</p>
"
809,1251402698,1993-05-05,302,20,0,"<p>It&#39;s Ice contained a tease of Pop Goes the Weasel from Page. Maze contained Lazy and San-Ho-Zay teases from Trey and a&nbsp;<em>Mission: Impossible</em>&nbsp;theme tease&nbsp;from Page. The beginning of My Friend featured Trey on acoustic guitar. Trey dedicated Ya Mar to Sue on her birthday. Ya Mar subsequently included I Can&#39;t Turn You Loose and Two Princes teases. YEM contained a La Marseillaise tease from Page and Yield Not to Temptation teases, did not contain a vocal jam, and was unfinished. The jam after YEM featured The Aquarium Rescue Unit, the Dude of Life, and Fish&nbsp;on vacuum. Amazing Grace was performed without microphones. The soundcheck&#39;s Funky Bitch Blues contained a Funk #49 tease.</p>
"
810,1251587533,1993-05-06,302,20,0,"<p>Chalk Dust Torture contained Lazy teases from Trey.Â The Horse featured Trey on acoustic guitar. Trey teased Jean Pierre in Fluffhead. Possum contained Simpsons, Key Change, and All Fall Down signals. Why You Been Gone So Long, Tennessee Waltz, I Been To Georgia On A Fast Train and That's Alright Mama were all Phish debuts. Lawn Boy, Why You Been Gone So Long, Rocky Top, both HYHUs, and Cracklin' Rosie featured Dick Solberg on violin. Tennessee Waltz, I Been To Georgia On A Fast Train, and Thatâs Alright Mama featured Solberg on violin and Jeff Walton on acoustic guitar. Why You Been Gone So Long also featured Walton on vocals. Page teased ""Charge!"" before Why You Been Gone So Long and in Big Ball Jam. Tweezer included a Sweet Emotion tease and a jam on Crimes of the Mind. Mike's Song contained Cheap Sunglasses teases. Rosie was âdedicated to Neil, who's on tour now!â Sweet Adeline was performed without microphones.</p>
"
811,1251590299,1993-05-07,319,20,0,"<p>Caravan contained a tease of Manteca. Page teased &quot;Charge!&quot; in The Lizards. I Didn&#39;t Know featured Fish&nbsp;on the Madonna washboard. Trey teased Johnny B. Goode in Run Like an Antelope. Trey sang the verses of Fee through a megaphone. YEM included <em>Mission: Impossible</em> theme and Fire (Ohio Players) teases and a Yield Not to Temptation jam. The YEM vocal jam was based on the <em>Bonanza </em>theme and also contained Under Pressure teases from Trey. Trey teased A Night in Tunisia in Harry Hood. Harpua&#39;s narration focused on the story of pro wrestler &quot;Ravishing&quot; Rick Rude and contained a tease of Crossroads, which would make its Phish debut the following day.</p>
"
812,1251592872,1993-05-08,80,20,0,"<p>Trey teased Fire (Ohio Players) in Chalk Dust Torture, Stash, and Reba. Page teased Can't You Hear Me Knocking in Stash. Fish quoted Kung throughout the return to Stash. The beginning of My Friend and all of The Horse featured Trey on acoustic guitar. Page teased ""Charge!"" before Satin Doll while Trey was thanking the crew. The intro to Bowie included Simpsons, Random Note, Will the Circle Be Unbroken?,Â and Get Back signals and Jessica teases (both before and after the Jessica Jam) from Page and an Amazing Grace tease from Mike. Bowie later contained a Lazy tease from Mike. The breakdown in Itâs Ice included a Manteca tease. Crossroads made its Phish debut at this show. Page teased Gimme Some Lovin' and Rainy Day Women #12 & 35 in Hydrogen. Weekapaug contained an Amazing Grace tease from Page and was unfinished. The Amazing Grace Jam was played to a Weekapaug-esque drumbeat. Trey teased Walk This Way in AC/DC Bag. This show is available as an archival release on LivePhish.com.</p>
"
813,1251593643,1993-05-29,333,61,0,"<p>This single-set performance was part of the Laguna Seca Daze festival that also included The Allman Brothers Band, Shawn Colvin, and Blues Traveler. Trey teased Fire (Ohio Players) in Stash and Can&#39;t You Hear Me Knocking in YEM.</p>
"
